ID,group
TCGA.A3.3358.11A.01R.1541.07,Normal
TCGA.A3.3358.01A.01R.1541.07,Tumor
TCGA.A3.3387.11A.01R.1541.07,Normal
TCGA.A3.3387.01A.01R.1541.07,Tumor
TCGA.B0.4700.11A.01R.1541.07,Normal
TCGA.B0.4700.01A.02R.1541.07,Tumor
TCGA.B0.4712.11A.02R.1503.07,Normal
TCGA.B0.4712.01A.01R.1503.07,Tumor
TCGA.B0.5402.11A.01R.1503.07,Normal
TCGA.B0.5402.01A.01R.1503.07,Tumor
TCGA.B0.5690.11A.01R.1541.07,Normal
TCGA.B0.5690.01A.11R.1541.07,Tumor
TCGA.B0.5691.11A.01R.1541.07,Normal
TCGA.B0.5691.01A.11R.1541.07,Tumor
TCGA.B0.5694.11A.01R.1541.07,Normal
TCGA.B0.5694.01A.11R.1541.07,Tumor
TCGA.B0.5696.11A.01R.1541.07,Normal
TCGA.B0.5696.01A.11R.1541.07,Tumor
TCGA.B0.5697.11A.01R.1541.07,Normal
TCGA.B0.5697.01A.11R.1541.07,Tumor
TCGA.B0.5699.11A.01R.1541.07,Normal
TCGA.B0.5699.01A.11R.1541.07,Tumor
TCGA.B0.5701.11A.01R.1541.07,Normal
TCGA.B0.5701.01A.11R.1541.07,Tumor
TCGA.B0.5703.11A.01R.1541.07,Normal
TCGA.B0.5703.01A.11R.1541.07,Tumor
TCGA.B0.5705.11A.01R.1541.07,Normal
TCGA.B0.5705.01A.11R.1541.07,Tumor
TCGA.B0.5706.11A.01R.1541.07,Normal
TCGA.B0.5706.01A.11R.1541.07,Tumor
TCGA.B0.5709.11A.01R.1541.07,Normal
TCGA.B0.5709.01A.11R.1541.07,Tumor
TCGA.B0.5711.11A.01R.1672.07,Normal
TCGA.B0.5711.01A.11R.1672.07,Tumor
TCGA.B0.5712.11A.01R.1672.07,Normal
TCGA.B0.5712.01A.11R.1672.07,Tumor
TCGA.B2.5636.11A.01R.1541.07,Normal
TCGA.B2.5636.01A.02R.1541.07,Tumor
TCGA.B2.5641.11A.01R.1541.07,Normal
TCGA.B2.5641.01A.01R.1541.07,Tumor
TCGA.B8.4619.11A.01R.1758.07,Normal
TCGA.B8.4619.01A.02R.1325.07,Tumor
TCGA.B8.4620.11A.01R.1758.07,Normal
TCGA.B8.4620.01A.02R.1325.07,Tumor
TCGA.B8.4622.11A.01R.1758.07,Normal
TCGA.B8.4622.01A.02R.1277.07,Tumor
TCGA.B8.5549.11A.01R.1541.07,Normal
TCGA.B8.5549.01A.01R.1541.07,Tumor
TCGA.B8.5552.11A.01R.1672.07,Normal
TCGA.B8.5552.01B.11R.1672.07,Tumor
TCGA.CJ.5672.11A.01R.1541.07,Normal
TCGA.CJ.5672.01A.11R.1541.07,Tumor
TCGA.CJ.5676.11A.01R.1541.07,Normal
TCGA.CJ.5676.01A.11R.1541.07,Tumor
TCGA.CJ.5677.11A.01R.1541.07,Normal
TCGA.CJ.5677.01A.11R.1541.07,Tumor
TCGA.CJ.5678.11A.01R.1541.07,Normal
TCGA.CJ.5678.01A.11R.1541.07,Tumor
TCGA.CJ.5679.11A.01R.1541.07,Normal
TCGA.CJ.5679.01A.11R.1541.07,Tumor
TCGA.CJ.5680.11A.01R.1541.07,Normal
TCGA.CJ.5680.01A.11R.1541.07,Tumor
TCGA.CJ.5681.11A.01R.1541.07,Normal
TCGA.CJ.5681.01A.11R.1541.07,Tumor
TCGA.CJ.5689.11A.01R.1541.07,Normal
TCGA.CJ.5689.01A.11R.1541.07,Tumor
TCGA.CJ.6030.11A.01R.1672.07,Normal
TCGA.CJ.6030.01A.11R.1672.07,Tumor
TCGA.CJ.6033.11A.01R.1858.07,Normal
TCGA.CJ.6033.01A.11R.1672.07,Tumor
TCGA.CW.5580.11A.02R.1672.07,Normal
TCGA.CW.5580.01A.01R.1672.07,Tumor
TCGA.CW.5581.11A.01R.1541.07,Normal
TCGA.CW.5581.01A.02R.1541.07,Tumor
TCGA.CW.5584.11A.01R.1541.07,Normal
TCGA.CW.5584.01A.01R.1541.07,Tumor
TCGA.CW.5585.11A.01R.1541.07,Normal
TCGA.CW.5585.01A.01R.1541.07,Tumor
TCGA.CW.5587.11A.01R.1541.07,Normal
TCGA.CW.5587.01A.01R.1541.07,Tumor
TCGA.CW.5589.11A.01R.1541.07,Normal
TCGA.CW.5589.01A.01R.1541.07,Tumor
TCGA.CW.5591.11A.01R.1541.07,Normal
TCGA.CW.5591.01A.01R.1541.07,Tumor
TCGA.CW.6087.11A.01R.1672.07,Normal
TCGA.CW.6087.01A.11R.1672.07,Tumor
TCGA.CW.6088.11A.01R.1672.07,Normal
TCGA.CW.6088.01A.11R.1672.07,Tumor
TCGA.CW.6090.11A.01R.1672.07,Normal
TCGA.CW.6090.01A.11R.1672.07,Tumor
TCGA.CZ.4863.11A.01R.1503.07,Normal
TCGA.CZ.4863.01A.01R.1503.07,Tumor
TCGA.CZ.4864.11A.01R.1503.07,Normal
TCGA.CZ.4864.01A.01R.1503.07,Tumor
TCGA.CZ.4865.11A.01R.1503.07,Normal
TCGA.CZ.4865.01A.02R.1503.07,Tumor
TCGA.CZ.5451.11A.01R.1503.07,Normal
TCGA.CZ.5451.01A.01R.1503.07,Tumor
TCGA.CZ.5452.11A.01R.1503.07,Normal
TCGA.CZ.5452.01A.01R.1503.07,Tumor
TCGA.CZ.5453.11A.01R.1503.07,Normal
TCGA.CZ.5453.01A.01R.1503.07,Tumor
TCGA.CZ.5454.11A.01R.1503.07,Normal
TCGA.CZ.5454.01A.01R.1503.07,Tumor
TCGA.CZ.5455.11A.01R.1503.07,Normal
TCGA.CZ.5455.01A.01R.1503.07,Tumor
TCGA.CZ.5456.11A.02R.1503.07,Normal
TCGA.CZ.5456.01A.01R.1503.07,Tumor
TCGA.CZ.5457.11A.01R.1503.07,Normal
TCGA.CZ.5457.01A.01R.1503.07,Tumor
TCGA.CZ.5458.11A.01R.1503.07,Normal
TCGA.CZ.5458.01A.01R.1503.07,Tumor
TCGA.CZ.5461.11A.01R.1503.07,Normal
TCGA.CZ.5461.01A.01R.1503.07,Tumor
TCGA.CZ.5462.11A.01R.1503.07,Normal
TCGA.CZ.5462.01A.01R.1503.07,Tumor
TCGA.CZ.5463.11A.01R.1503.07,Normal
TCGA.CZ.5463.01A.01R.1503.07,Tumor
TCGA.CZ.5465.11A.01R.1503.07,Normal
TCGA.CZ.5465.01A.01R.1503.07,Tumor
TCGA.CZ.5466.11A.01R.1503.07,Normal
TCGA.CZ.5466.01A.01R.1503.07,Tumor
TCGA.CZ.5467.11A.01R.1503.07,Normal
TCGA.CZ.5467.01A.01R.1503.07,Tumor
TCGA.CZ.5468.11A.01R.1503.07,Normal
TCGA.CZ.5468.01A.01R.1503.07,Tumor
TCGA.CZ.5469.11A.01R.1503.07,Normal
TCGA.CZ.5469.01A.01R.1503.07,Tumor
TCGA.CZ.5470.11A.01R.1503.07,Normal
TCGA.CZ.5470.01A.01R.1503.07,Tumor
TCGA.CZ.5982.11A.01R.1672.07,Normal
TCGA.CZ.5982.01A.11R.1672.07,Tumor
TCGA.CZ.5984.11A.01R.1672.07,Normal
TCGA.CZ.5984.01A.11R.1672.07,Tumor
TCGA.CZ.5985.11A.01R.1672.07,Normal
TCGA.CZ.5985.01A.11R.1672.07,Tumor
TCGA.CZ.5986.11A.01R.1672.07,Normal
TCGA.CZ.5986.01A.11R.1672.07,Tumor
TCGA.CZ.5987.11A.01R.1672.07,Normal
TCGA.CZ.5987.01A.11R.1672.07,Tumor
TCGA.CZ.5988.11A.01R.1672.07,Normal
TCGA.CZ.5988.01A.11R.1672.07,Tumor
TCGA.CZ.5989.11A.01R.1672.07,Normal
TCGA.CZ.5989.01A.11R.1672.07,Tumor
TCGA.DV.A4W0.05A.11R.A266.07,Tumor
TCGA.DV.A4W0.01A.11R.A266.07,Tumor